,content,score,source
41,不惮以最坏的恶意来推测中国人。,1,NO.53264  
42,帮自己的忙，帮到后来，只忙了自己，这是常常要遇到的。,1,NO.53263  
44,凡是不爱已的人，实在欠缺做父亲的资格。,1,NO.53261  
47,长者须是指导者协商者，却不该是命令者。,1,NO.53258  
50,自卑和自负都不是很好，最好的办法的成不骄败不馁。,1,NO.53255  
52,愈艰难，就愈要做，改革，是向来没有一帆风顺的。,1,NO.53253  
53,我们目下的当务之急是：一要生存，二要温饱，三要发展。,1,NO.53252  
54,你的心意我无从知晓，但我势必选择孤独上路。,1,NO.53251  
55,一个诚挚、热心，为着光明而斗争的人，不能够不是刻苦而负责的。,1,NO.53250  
56,我很早就希望中国的站出来，对于中国的社会、文明，都毫无忌惮地加以批评。,1,NO.53249  
58,惟独革命家，无论他生或死，都能给大家以幸福。,1,NO.53247  
59,我又愿中国青年只是向上走，不必理会这冷笑和暗箭。,1,NO.53246  
60,和朋友谈心，不必留心，但和敌人对面，却必须刻刻防备。,1,NO.53245  
64,敌人是不足惧的，最可怕的是自己营垒里的蛀虫，许多事情都败在他们手里。,1,NO.53241  
65,时刻就象海绵里的水一样，只要你愿意挤，总还是有的。,1,NO.53240  
66,我是把别人喝咖啡的时间用来工作的。,1,NO.53239  
67,有地方特色，倒容易成为世界的，即为被别国所注意。,1,NO.53238  
68,无论如何，流言总不能吓哑我的。,1,NO.53237  
69,没有对北韩打的背影中，中国自己，肯定动了起来。,1,NO.53236  
70,改革自己，总比制止别人来得难。,1,NO.53235  
71,即使慢，驰而不息，纵会落后，纵会失败，但一定可以达到他所向的目标。,1,NO.53234  
72,惟有民魂是值得宝贵的，惟有他发扬起来，中国人才有真进步。,1,NO.53233  
74,文艺是国民精神所发的火光，同时也是引导国民精神的前途的灯火。,1,NO.53231  
75,教育植根于爱。,1,NO.53230  
76,事实不为轻薄阴险小人留情。,1,NO.53229  
77,虽生之日，犹死之年。,1,NO.53228  
78,爱夜的人要有听夜的耳朵和看夜的眼睛，自在暗中，看一切暗。,1,NO.53227  
79,即使慢，驰而不息，纵会落后，纵会失败，但务必能够到达他所向的目标。,1,NO.53226  
80,儿童的情形，便是将来的命运。,1,NO.53225  
81,要竭力将可有可无的字、句、段删去，毫不可惜。,1,NO.53224  
82,假使做事要面面顾到，那就什么事都不能做了。,1,NO.53223  
85,人类总不会寂寞，因为生命是进步的，是天生的。,1,NO.53220  
88,弄文学的人，只要一坚韧，二认真，三韧长，就可以了。,1,NO.53217  
89,时间像海绵里的水，只要你愿意挤，总还是有的。,1,NO.53216  
90,有时候仍不免呐喊几声，聊以慰藉那在寂寞里奔驰的猛士，使他不惮于前驱。,1,NO.53215  
91,没有思索和悲哀，就不会有文学。,1,NO.53214  
92,不满足是向上的年轮。,1,NO.53213  
93,无情未必真豪杰，怜子如何不丈夫，知否兴风狂啸者，回眸时看小於菟。,1,NO.53212  
94,轻敌，最容易失败。,1,NO.53211  
95,无论爱什么，……只有纠缠如毒蛇，执着如怨鬼，二六时中，没有已时者有望。,1,NO.53210  
96,守信的人是最快乐的，诚实是最天真的。,1,NO.53209  
98,幸福永远存在于人类不安的追求中，而不存在于和谐于稳定之中。,1,NO.53207  
100,天才可贵，培养天才的泥土更可贵。,1,NO.53205  
101,我不是高僧，没有涅槃的自由。,1,NO.53204  
102,删掉枝叶的人，决定得不到花果。,1,NO.53203  
103,上人生的旅途吧，前途很远，也很暗，然而不要怕，不怕的人的前面才有路。,1,NO.53202  
104,凡事总需研究，才会明白。,1,NO.53201  
105,人生得一知已足矣，斯世当以同怀视之。,1,NO.53200  
107,不满是向上的车轮，能够载着不自满的人前进。,1,NO.53198  
109,但是话不行，要紧的是做。,1,NO.53196  
111,不知怎地我们便都笑起来，是互相的嘲弄和悲哀。,1,NO.53194  
112,只能留下一片悔恨。,1,NO.53193  
113,不可救药的民族中，一定有许多英雄，专向孩子们瞪眼，这些孱头们。,1,NO.53192  
115,同是不满于现状，但打破现状的手段却不一样：一是革新，一是复古。,1,NO.53190  
116,我的确时时解剖别人，然而更多的是更无情面地解剖我自己。,1,NO.53189  
117,不革新，是生存也为难的。,1,NO.53188  
118,我以为常见些但愿不如所料，以为未必竟如所料的事，却每每恰如所料起来。,1,NO.53187  
119,我好像是一只牛，吃的是草，挤出的是奶。,1,NO.53186  
120,读书要眼到、口到、心到、手到、脑到。,1,NO.53185  
121,悲剧将人生有价值的东西毁灭给人看，喜剧将那无价值的撕破给人看。,1,NO.53184  
123,中国的哭和拜，什么时候才完呢。,1,NO.53178  
124,当我失掉所爱的，心中有着空虚时，我要充填以报仇的恶念。,1,NO.53174  
125,急不择言的病源，并不在没有想的功夫，而在有工夫的时候没有想。,1,NO.53172  
126,无穷远的地方，无数的人，都与我有关。,1,NO.53170  
127,我之所谓生存，并不是苟活；所谓温饱，并不是奢侈；所谓发展，也不是放纵。,1,NO.53168  
128,改革，是向来没有一帆风顺的。,1,NO.53166  
129,他们应该有新的生活，为我们所未经生活过的.,1,NO.53165  
130,是能在世界新潮流中游泳，不被淹没的力量。,1,NO.53163  
131,命运并不是中国人的事前指导，乃是事后的一种不费心思的解释。,1,NO.53161  
132,父母对于子女，应该健全的产生，尽力的教育，完全的解放。,1,NO.53159  
133,不满是向上的车轮。,1,NO.53156  
135,凡有一人的主张，得了赞和，是促其前进的，得了反对，是促其奋斗的。,1,NO.53153  
